1225344 (1 seat) vs 500k-champion table: A won 80, champion won 90, draws 30 -> 1225344's share 47.1% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-22]
1250432 (1 seat) vs 500k-champion table: A won 55, champion won 99, draws 46 -> 1250432's share 35.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-22]
1275008 (1 seat) vs 500k-champion table: A won 91, champion won 82, draws 27 -> 1275008's share 52.6% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-22]
1300096 (1 seat) vs 500k-champion table: A won 102, champion won 74, draws 24 -> 1300096's share 58.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-22]
1325184 (1 seat) vs 500k-champion table: A won 114, champion won 67, draws 19 -> 1325184's share 63.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-22]
1350272 (1 seat) vs 500k-champion table: A won 68, champion won 94, draws 38 -> 1350272's share 42.0% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1375360 (1 seat) vs 500k-champion table: A won 87, champion won 83, draws 30 -> 1375360's share 51.2% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1400448 (1 seat) vs 500k-champion table: A won 105, champion won 68, draws 27 -> 1400448's share 60.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1425024 (1 seat) vs 500k-champion table: A won 107, champion won 75, draws 18 -> 1425024's share 58.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1450112 (1 seat) vs 500k-champion table: A won 107, champion won 71, draws 22 -> 1450112's share 60.1% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1475200 (1 seat) vs 500k-champion table: A won 66, champion won 92, draws 42 -> 1475200's share 41.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1500288 (1 seat) vs 500k-champion table: A won 71, champion won 91, draws 38 -> 1500288's share 43.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1525376 (1 seat) vs 500k-champion table: A won 91, champion won 75, draws 34 -> 1525376's share 54.8% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1550464 (1 seat) vs 500k-champion table: A won 68, champion won 95, draws 37 -> 1550464's share 41.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1575040 (1 seat) vs 500k-champion table: A won 69, champion won 92, draws 39 -> 1575040's share 42.9% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1600128 (1 seat) vs 500k-champion table: A won 89, champion won 84, draws 27 -> 1600128's share 51.4% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-23]
1625216 (1 seat) vs 500k-champion table: A won 116, champion won 62, draws 22 -> 1625216's share 65.2% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-24]
1650304 (1 seat) vs 500k-champion table: A won 56, champion won 101, draws 43 -> 1650304's share 35.7% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-24]
1675392 (1 seat) vs 500k-champion table: A won 90, champion won 80, draws 30 -> 1675392's share 52.9% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-24]
1700480 (1 seat) vs 500k-champion table: A won 76, champion won 89, draws 35 -> 1700480's share 46.1% (25% = equal) [big model 128ch/6blk/lstm256 league fine-tune, 200 games mirrored, 2026-09-24]
